WORDS,FREQ
0,443.0
00,98.0
000,1.0
00005,2.0
01,21.0
02,19.0
03,16.0
04,12.0
041423,4.0
05,13.0
06,42.0
07,10.0
08,7.0
09,5.0
1,121.0
10,46.0
10000,1.0
1007,1.0
102116,4.0
10383,1.0
11,20.0
1146,4.0
12,6.0
13,8.0
131,1.0
14,6.0
1444,1.0
1444mlp,6.0
1444perc,9.0
146,1.0
15,9.0
15x16,1.0
16,4.0
17,2.0
1700,1.0
1700mlp,4.0
1700mpl,1.0
1700perc,7.0
1700prc,1.0
175,1.0
18,1.0
19,24.0
190112,9.0
1978,1.0
1983,1.0
1991,1.0
1993,1.0
1998,16.0
2,66.0
20,5.0
2000,3.0
2001,2.0
2002,2.0
2003,2.0
2005,1.0
2008,1.0
2010,1.0
2013,1.0
2014,22.0
2015,9.0
2016,26.0
2017,29.0
2018,21.0
2019,8.0
2020,19.0
2023,2.0
203,4.0
20th,1.0
21,2.0
22,4.0
23,3.0
24,4.0
247,1.0
25,9.0
2500,2.0
2500mlp,9.0
2500perc,10.0
259,1.0
26,6.0
27,1.0
275,1.0
276,1.0
28,3.0
281,4.0
29,6.0
2nd,14.0
3,49.0
30,5.0
300x300,2.0
30x30,1.0
31,19.0
314,2.0
319,1.0
33,7.0
34,1.0
35,3.0
36,1.0
370,1.0
38,5.0
384,2.0
38x38,1.0
39,1.0
392,1.0
394,3.0
4,52.0
40,2.0
402,16.0
41,1.0
418,3.0
421,1.0
421201,16.0
44,5.0
46,2.0
463c,5.0
47,1.0
48,3.0
49,2.0
4th,2.0
5,57.0
50,5.0
500,4.0
50x50,1.0
51,2.0
511,1.0
518,1.0
52,2.0
53,2.0
54,3.0
55,2.0
56,4.0
562x762,1.0
57,7.0
572,1.0
577,1.0
58,4.0
59,1.0
5th,2.0
6,30.0
60,3.0
600,1.0
61,2.0
63,3.0
630,1.0
64,17.0
640x490,1.0
650,3.0
66,3.0
67,5.0
675,1.0
68,1.0
688,1.0
69,3.0
7,90.0
70,4.0
71,1.0
72,1.0
73,2.0
74,5.0
75,8.0
75007,2.0
75013,2.0
76,7.0
77,5.0
78,45.0
79,2.0
7th,1.0
8,20.0
80,43.0
800x600,1.0
81,10.0
83,2.0
84,3.0
86,1.0
87,2.0
8779798553,1.0
8879044053,18.0
89,1.0
8a69d345,5.0
8pm,1.0
8qaksdad8fyltxrfe,1.0
8th,5.0
9,16.0
91,3.0
92,1.0
94,5.0
9452aa1a3,3.0
95,1.0
96,2.0
97,5.0
978,1.0
<<<<<<< HEAD,0.0
=======,0.0
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d,0.0
a69d9e530f96,5.0
a69d9ec,5.0
aaaa,9.0
abbreviation,5.0
ability,23.0
able,3.0
abroad,2.0
absence,3.0
absorb,3.0
abstract,8.0
ac,2.0
academic,30.0
academy,4.0
accentuate,4.0
accept,1.0
access,34.0
accessed,4.0
accompany,1.0
accomplish,1.0
accomplishment,2.0
accord,5.0
accordingly,6.0
account,32.0
accountyo,1.0
accuracy,7.0
accurate,1.0
achieve,12.0
achievement,14.0
acquire,7.0
acquisition,8.0
across,4.0
action,19.0
activation,3.0
activity,24.0
actor,38.0
actual,1.0
actually,2.0
actuarial,4.0
actuary,4.0
ad,1.0
add,19.0
addition,17.0
additionally,3.0
address,21.0
adequate,1.0
admin,1.0
administration,1.0
administrative,1.0
admins,1.0
admit,3.0
advance,8.0
advantage,12.0
advice,4.0
advise,4.0
aff1,10.0
affect,5.0
affecting,6.0
affective,3.0
affiliated,7.0
affiliation,4.0
age,2.0
agency,4.0
agenda,4.0
agent,19.0
aggregational,1.0
agm,4.0
agree,1.0
agreeableness,3.0
agreement,4.0
ahuja,2.0
aid,1.0
aim,14.0
aisc,1.0
akes,1.0
al,2.0
alert,2.0
algorithm,22.0
algorithmic,4.0
align,4.0
allegorical,4.0
allow,21.0
alog,1.0
alone,1.0
along,6.0
already,2.0
also,68.0
alter,8.0
alternate,2.0
alternative,6.0
alto,1.0
always,7.0
amalgam,4.0
amarna,4.0
american,1.0
among,22.0
amount,7.0
analyse,10.0
analysing,1.0
analysis,97.0
analyst,9.0
analytical,9.0
analytics,15.0
analyze,10.0
